id,term,fullForm,category,description,commonUse
1,ETCS,European Train Control System,Signalling,A standardized automatic train protection system used across Europe and the UK. It continuously supervises train speed and movement authority to improve safety and capacity.,Deployed as part of ERTMS on mainline routes.
2,ERTMS,European Rail Traffic Management System,Signalling,"A European standard for train control, command, and signalling. It integrates ETCS and GSM-R to enable interoperable rail operations.",Used on high-speed and digitally signalled routes.
3,AWS,Automatic Warning System,Signalling,A legacy UK train protection system that provides audible and visual warnings to drivers. It alerts drivers to signal aspects and speed restrictions.,Still widely used across the UK network.
4,TPWS,Train Protection and Warning System,Signalling,A safety system designed to reduce the risk of signal passed at danger (SPAD) incidents. It can automatically apply the brakes if a train is travelling too fast or passes a signal at danger.,Installed at high-risk signals and speed restrictions.
5,OLE,Overhead Line Equipment,Electrification,The system of overhead wires and supporting structures used to supply electric power to trains. It delivers electricity via pantographs.,Common on electrified main lines and commuter routes.
6,GSM-R,Global System for Mobile Communications – Railway,Signalling,"A dedicated railway radio communication system for voice and data. It supports train control, operational communications, and ETCS data transmission.",Standard railway radio across the UK network.
7,SPAD,Signal Passed At Danger,Signalling,An incident where a train passes a stop signal without authority. SPADs are a major safety risk and are closely monitored and investigated.,Key safety performance indicator in rail operations.
8,TOC,Train Operating Company,General,An organisation responsible for running passenger or freight train services. TOCs operate under contracts or concessions.,"Examples include LNER, Avanti West Coast, and GWR."
9,ROSCO,Rolling Stock Company,Rolling Stock,A company that owns railway vehicles and leases them to operators. ROSCOs enable fleet flexibility and investment.,Major UK ROSCOs include Porterbrook and Angel Trains.
10,RSSB,Rail Safety and Standards Board,Regulations & Standards,An independent body that develops safety standards and guidance for Britain’s railways. It supports risk management and system safety.,Publishes Railway Group Standards and guidance.
11,RGS,Railway Group Standards,Regulations & Standards,A set of mandatory standards that define technical and operational requirements. They ensure safety and interoperability across the railway.,Managed and published by RSSB.
12,NR,Network Rail,General,"The organisation responsible for owning, operating, and maintaining most of Great Britain’s railway infrastructure. It manages track, signalling, and major stations.",Infrastructure owner for the national rail network.
13,TMS,Traffic Management System,Signalling,A digital system that optimises train movements in real time. It assists signallers in regulating traffic and reducing delays.,Used in modern rail operations centres.
14,RAIB,Rail Accident Investigation Branch,Regulations & Standards,An independent body that investigates serious railway accidents and incidents. Its purpose is to improve safety rather than assign blame.,Publishes investigation reports and safety recommendations.
